Company Name,Stock,Ticker,ESG Risk,ESG Rating
"1-800-FLOWERS.COM, Inc.",NAS,FLWS,Medium ESG Risk,23.6
1&1 AG,ETR,1U1,Medium ESG Risk,22.2
"10X Genomics, Inc.",NAS,TXG,Medium ESG Risk,22.6
11 Bit Studios SA,WAR,11B,Low ESG Risk,16.3
"1Life Healthcare, Inc.",-,,Medium ESG Risk,22.5
1st Source Corp.,NAS,SRCE,High ESG Risk,31.7
"1stdibs.com, Inc.",NAS,DIBS,Medium ESG Risk,26.7
"22nd Century Group, Inc.",NAS,XXII,High ESG Risk,35.4
23andMe Holding Co.,NAS,ME,Medium ESG Risk,25.6
29metals Ltd.,ASX,29M,Severe ESG Risk,42.8
2i Rete Gas SpA,-,,Medium ESG Risk,25.2
"2seventy Bio, Inc.",NAS,TSVT,High ESG Risk,32
"2U, Inc.",NAS,TWOU,Medium ESG Risk,26.8
"360 DigiTech, Inc.",HKG,3660,Medium ESG Risk,28.4
360 One Wam Ltd.,BOM,542772,High ESG Risk,33.3
"360 Security Technology, Inc.",SHG,601360,Medium ESG Risk,23.1
361 Degrees International Ltd.,HKG,1361,Low ESG Risk,18.6
37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE,2555,Low ESG Risk,14.3
3D Systems Corp.,NYS,DDD,Medium ESG Risk,23
3i Group Plc,LON,III,Low ESG Risk,11.1
3M Co.,NYS,MMM,High ESG Risk,32.2
3M India Ltd.,BOM,523395,Medium ESG Risk,23.4
3R Petroleum Óleo e Gás SA,BSP,RRRP3,Severe ESG Risk,56.7
"3SBio, Inc.",HKG,1530,Medium ESG Risk,27.1
407 East Development Group GP,-,,Severe ESG Risk,45.7
"407 International, Inc.",-,,Low ESG Risk,11.4
"4D Molecular Therapeutics, Inc.",NAS,FDMT,Medium ESG Risk,28.4
4imprint Group Plc,LON,FOUR,Low ESG Risk,17.2
"5E Advanced Materials, Inc.",NAS,FEAM,Severe ESG Risk,42
5I5J Holding Group Co. Ltd.,SHE,560,Low ESG Risk,15
7-Eleven Malaysia Holdings Bhd.,KLS,5250,Medium ESG Risk,24.6
"7-Eleven, Inc.",-,,High ESG Risk,35.1
888 Holdings Plc,LON,888,Low ESG Risk,18.7
"8x8, Inc.",NAS,EGHT,Medium ESG Risk,29.9
"908 Devices, Inc.",NAS,MASS,High ESG Risk,36.8
"91APP, Inc.",ROCO,6741,Medium ESG Risk,25.8
"A-Living Smart City Services Co., Ltd.",HKG,3319,Negligible ESG Risk,9.3
"A-Mark Precious Metals, Inc.",NAS,AMRK,High ESG Risk,30.3
A. O. Smith Corp.,NYS,AOS,Medium ESG Risk,25.4
A.G. BARR Plc,LON,BAG,Medium ESG Risk,23.7
A.P. Møller-Mærsk A/S,CSE,MAERSK.B,Low ESG Risk,17.6
"A10 Networks, Inc.",NYS,ATEN,Medium ESG Risk,21.9
A2A SpA,MIL,A2A,Medium ESG Risk,21.3
A2Dominion Housing Group Ltd.,-,,Low ESG Risk,16.6
"AAC Technologies Holdings, Inc.",HKG,2018,Low ESG Risk,17.2
"Aadi Bioscience, Inc.",NAS,AADI,Medium ESG Risk,26.4
AAK AB,OME,AAK,Medium ESG Risk,25.3
Aalberts NV,AMS,AALB,Medium ESG Risk,24.1
Aamal Co. QSC,DSMD,AHCS,High ESG Risk,39.4
"AAON, Inc.",NAS,AAON,Medium ESG Risk,23.8
AAR Corp.,NYS,AIR,High ESG Risk,34
Aareal Bank AG,ETR,ARL,Low ESG Risk,18.6
Aarti Drugs Ltd.,BOM,524348,High ESG Risk,35.4
AARTI Industries Ltd.,BOM,524208,Medium ESG Risk,23
Aavas Financiers Ltd.,BOM,541988,Medium ESG Risk,26.2
AB Science SA,PAR,AB,High ESG Risk,36.3
Abacus Property Group,ASX,ABP,Low ESG Risk,13.4
ABANCA Corporación Bancaria SA,-,,Low ESG Risk,19.8
ABB India Ltd.,BOM,500002,Low ESG Risk,17.2
ABB Ltd.,SWX,ABBN,Low ESG Risk,15.8
Abbott Laboratories,NYS,ABT,Medium ESG Risk,24.8
"AbbVie, Inc.",NYS,ABBV,Medium ESG Risk,29.8
ABC arbitrage SA,PAR,ABCA,High ESG Risk,30.8
"ABC-MART, INC.",TKS,2670,Low ESG Risk,19.6
Abcam Plc,NAS,ABCM,Low ESG Risk,11.8
"AbCellera Biologics, Inc.",NAS,ABCL,High ESG Risk,31.9
"AbClon, Inc.",KRX,174900,High ESG Risk,32
Abdullah Al Othaim Markets Co.,SAU,4001,Medium ESG Risk,29.4
Abengoa SA,-,,High ESG Risk,31.4
Abengoa Transmisión Sur SA,-,,Medium ESG Risk,22.9
Abercrombie & Fitch Co.,NYS,ANF,Low ESG Risk,15.4
Abertis Infraestructuras SA,-,,Negligible ESG Risk,7.1
ABG Sundal Collier Holding ASA,OSL,ABG,Medium ESG Risk,29.2
"Ability Enterprise Co., Ltd.",TAI,2374,Medium ESG Risk,20.8
"ABL Bio, Inc.",KRX,298380,High ESG Risk,37.1
"ABLE C&C Co., Ltd.",KRX,78520,High ESG Risk,30.9
Abliva AB,OME,ABLI,High ESG Risk,30.1
"ABM Industries, Inc.",NYS,ABM,Low ESG Risk,13.6
ABN AMRO Bank NV,AMS,ABN,Low ESG Risk,19.8
"Aboitiz Equity Ventures, Inc.",PHS,AEV,High ESG Risk,39.5
Aboitiz Power Corp.,PHS,AP,High ESG Risk,30.1
ABOUT YOU Holding SE,ETR,YOU,Low ESG Risk,16.2
abrdn European Logistics Income Plc,LON,ASLI,High ESG Risk,32.1
abrdn Plc,LON,ABDN,Low ESG Risk,16.7
abrdn Property Income Trust Ltd.,LON,API,Low ESG Risk,15.4
Absa Group Ltd.,JSE,ABG,Medium ESG Risk,28
Absci Corp.,NAS,ABSI,Low ESG Risk,19.5
Absolute Clean Energy PCL,BKK,ACE,Medium ESG Risk,20.1
Absolute Software Corp.,TSE,ABST,Medium ESG Risk,24.1
